구별,강도,강간,살인,절도,폭력,강도검거율,강간검거율,살인검거율,절도검거율,폭력검거율,인구수,CCTV,범죄,검거
강남구,0.9411764705882352,0.9999999999999998,0.9166666666666666,1.0,1.0,85.71428571428571,77.728285077951,76.92307692307693,42.857142857142854,86.48459383753502,557865,3238,4.8578431372549025,369.7073844099915
강동구,0.05882352941176466,0.1556195965417867,0.16666666666666666,0.4675278076785073,0.4379692527708259,100.0,78.84615384615384,75.0,33.34742180896027,82.89085545722715,438225,1010,1.2866068530695514,370.08443111234124
강북구,0.5294117647058822,0.14697406340057634,0.4166666666666666,0.1331180480803732,0.41544511977118337,92.85714285714286,82.35294117647058,100.0,43.09623430962343,88.637221593054,327511,831,1.6416156626246816,406.9435399362909
강서구,0.4705882352941176,0.4610951008645533,0.4166666666666666,0.3706494438464297,0.6149445834823024,100.0,72.90076335877863,100.0,60.1145038167939,84.75210477081384,608361,911,2.3339440301540697,417.76737194638633
관악구,0.4117647058823529,0.6282420749279538,0.5833333333333334,0.5895227843559383,0.6474794422595638,100.0,69.0625,88.8888888888889,30.561714708056172,80.10915706488781,522292,2109,2.860342340759142,368.6222606618329
광진구,0.5294117647058822,0.3976945244956772,0.16666666666666666,0.7043415859346969,0.4068644976760815,100.0,91.66666666666666,100.0,42.200925313945795,83.04761904761905,371671,878,2.2049790394790043,416.91521102823145
구로구,0.588235294117647,0.5158501440922191,0.5,0.4564047362755651,0.5434393993564532,73.33333333333333,58.36298932384342,75.0,38.072805139186286,80.87795144662455,440396,1884,2.603929573841884,325.6470792429876
금천구,0.05882352941176466,0.14121037463976946,0.08333333333333334,0.18083961248654468,0.20271719699678226,100.0,80.79470198675497,100.0,56.66879387364391,86.46543330087636,253344,1348,0.6669240468681944,423.92892916127516
노원구,0.11764705882352937,0.2737752161383285,0.6666666666666666,0.405453893074991,0.4419020378977475,100.0,61.421319796954315,100.0,36.525307797537614,85.53066470804261,555803,1566,1.9054448726012632,383.47729230253447
도봉구,0.2352941176470588,0.0,0.08333333333333334,0.0,0.0,100.0,100.0,100.0,44.967074317968006,87.62609280430397,345041,825,0.3186274509803921,432.593167122272
동대문구,0.4705882352941176,0.20461095100864551,0.25,0.3293864370290636,0.3793350017876296,100.0,84.39306358381505,100.0,41.090358404846036,87.40188383045526,364962,1870,1.6339206251194562,412.8853058191163
동작구,0.2352941176470588,0.5273775216138328,0.25,0.2877646214567635,0.15123346442617092,55.555555555555564,48.771929824561404,100.0,35.442359249329755,83.08900523560209,406715,1302,1.4516697251438262,322.85884986504885
마포구,0.5294117647058822,0.5533141210374639,0.5,0.5353426623609616,0.5348587772613513,71.42857142857143,84.01360544217688,100.0,31.819960861056753,84.44518940663761,385624,980,2.6529273253656593,371.7073271384427
서대문구,0.0,0.1498559077809798,0.0,0.2687477574452817,0.2034322488380408,80.0,80.51948051948051,100.0,40.72847682119205,83.21984435797665,324871,1254,0.6220359140643023,384.4678016986492
서초구,0.2352941176470588,0.8386167146974062,0.5,0.5640473627556513,0.326063639613872,66.66666666666666,63.35877862595419,75.0,41.40417457305503,87.45310546060858,445164,2297,2.4640218347139884,333.88272532628446
성동구,0.2352941176470588,0.06916426512968299,0.16666666666666666,0.1951919626838895,0.0446907400786557,88.8888888888889,94.44444444444444,100.0,37.14996888612321,86.53846153846155,314551,1327,0.7110077522059537,407.0217637579181
성북구,0.0,0.13832853025936598,0.25,0.2590599210620739,0.2581337146943153,80.0,82.66666666666667,100.0,41.51260504201681,83.97464916251698,453902,1651,0.9055221660157552,388.1539208712005
송파구,0.4705882352941176,0.34005763688760804,0.75,0.780767850735558,0.6464068644976761,76.92307692307693,80.9090909090909,90.9090909090909,34.85643717196666,84.55235204855843,671994,1081,2.9878205874149595,368.15004796178386
양천구,0.05882352941176466,0.05187319884726221,0.08333333333333334,0.296734840330104,0.36539149088308903,50.0,87.5,100.0,35.555555555555564,80.90872857712236,473087,2482,0.8561563928055532,353.96428413267785
영등포구,1.0,0.5561959654178674,1.0,0.6820954431288124,0.7454415445119771,90.9090909090909,62.033898305084755,85.71428571428571,32.99595141700405,82.89473684210526,403988,1277,3.9837329530586567,354.5479631875707
용산구,0.5294117647058822,0.2651296829971181,0.25,0.17725152493720842,0.2012870933142653,100.0,89.17525773195877,100.0,37.70070648683366,83.12195121951221,245411,2096,1.4230800659544742,409.9979154383046
은평구,0.2352941176470588,0.18443804034582129,0.08333333333333334,0.3053462504485109,0.4168752234537004,66.66666666666666,84.93975903614458,100.0,37.1473354231975,86.92046739540145,490253,2108,1.2252869652284248,375.6742285214102
종로구,0.35294117647058826,0.31412103746397696,0.33333333333333337,0.4022246142805884,0.2881658920271719,81.81818181818183,76.30331753554502,83.33333333333334,38.32417582417583,84.21282163105103,164348,1619,1.6907860535756591,363.99183014228714
중구,0.2352941176470588,0.19596541786743515,0.08333333333333334,0.5328310010764262,0.26349660350375403,66.66666666666666,65.29411764705883,66.66666666666666,33.712715855573,88.30935251798559,135139,1023,1.3109204734280075,320.64951935395067
중랑구,0.35294117647058826,0.244956772334294,0.9166666666666666,0.384642985288841,0.48623525205577395,81.81818181818183,79.14438502673798,92.30769230769229,38.829039812646364,84.54513523006673,411552,916,2.385442852816164,376.64443419532535
