시도,사고건수,사망자수,중상자수,경상자수,부상신고자수,부상건수,사망자비율,중상자비율,경상자비율,부상자비율,인구수,경찰정원수,1인당 담당인구,지역
강원,0.15979243771223628,0.2555168408826945,0.1571220272512444,0.18848091101540254,0.09973793741328812,0.17519605564187574,2.681777378815081,38.554757630161575,100.0,100.0,1541502.0,4258,362.0,비수도권
경기,1.0,1.0,1.0,1.0,0.9543702790195776,1.0,1.6618196925633568,38.14631567020433,100.0,100.0,13239666.0,23462,564.0,수도권
경남,0.2506963256896486,0.4494773519163763,0.3654784051485746,0.19306153733849185,0.21674117465700635,0.24029509279763145,2.968487241354098,55.421510565182416,81.33362579513052,81.33362579513052,3362553.0,6961,483.0,비수도권
경북,0.2902819642107673,0.5667828106852497,0.3756850520388154,0.2568435652237389,0.22306150763064594,0.2872750406792517,3.2186389029964446,49.40959878110717,92.8072625698324,92.8072625698324,2665836.0,6528,408.0,비수도권
광주,0.13979930558205195,0.09059233449477352,0.06541304238523807,0.18399153222862985,0.05025435486357329,0.14420641814600488,1.2334689725330619,20.49847405900305,100.0,100.0,1456468.0,3437,424.0,비수도권
대구,0.2612079819909192,0.164924506387921,0.24229473578359897,0.23768158259726985,0.26252505010020044,0.2408701077847242,1.131571549058195,36.05566488614001,95.36828788304753,95.36828788304753,2438031.0,5752,424.0,비수도권
대전,0.12142775382502195,0.09059233449477352,0.10463070038714868,0.1323636761807431,0.029597656852165876,0.11749880714976085,1.405593392261991,34.66164324011013,100.0,100.0,1474870.0,3222,458.0,비수도권
부산,0.2331451028272731,0.1846689895470383,0.27331690884408466,0.18351704503978392,0.2320024664714044,0.2098927046502808,1.3953123775182252,45.04977659324293,83.09947479815004,83.09947479815004,3413841.0,9058,377.0,비수도권
서울,0.7846350490289595,0.41463414634146345,0.7099904469807431,0.6781699394116358,1.0,0.7111344923351726,0.9024360974438976,34.638185527421086,90.49801992079685,90.49801992079685,9729107.0,28717,339.0,수도권
세종,0.0,0.0,0.0,0.0,0.0,0.0,3.544776119402985,58.02238805970149,100.0,100.0,340575.0,546,624.0,비수도권
울산,0.092182074859781,0.08710801393728224,0.0987480516868621,0.08195853711949777,0.09264683212579004,0.08724323133954022,1.7511177347242919,42.38077496274217,93.81520119225037,93.81520119225037,1148019.0,2474,464.0,비수도권
인천,0.1562631157236064,0.13588850174216027,0.16220021117200464,0.15382509672238848,0.0897178973331278,0.15114330107540036,1.5583820327718574,40.52939154348573,100.0,100.0,2957026.0,6446,459.0,수도권
전남,0.18856118127360832,0.45412311265969796,0.181054854442154,0.21766187312942548,0.09326344997687684,0.20216058822809746,3.934740882917467,37.543186180422275,100.0,100.0,1868745.0,5464,342.0,비수도권
전북,0.15904841848220078,0.3356562137049942,0.1548594700588265,0.1801043871815461,0.039001079081239405,0.16505377001847388,3.471204778541643,38.2170630001127,100.0,100.0,1818917.0,4954,367.0,비수도권
제주,0.0783891029798924,0.0859465737514518,0.07531801498315653,0.07237754580626322,0.12193618005241255,0.07743127347468097,2.0021528525296017,38.945102260495155,97.11517761033369,97.11517761033369,670989.0,1769,379.0,비수도권
충남,0.16950284253500708,0.4216027874564461,0.2235909296596109,0.1600664282064384,0.06320332973639588,0.17117095073222652,4.054771255705338,50.50419276085341,98.885468633903,98.885468633903,2123709.0,4627,459.0,비수도권
충북,0.16786218474569806,0.2543554006968641,0.1963899643018754,0.17473903204613475,0.08617234468937876,0.17444975959479794,2.5495447241564007,45.17407605784681,100.0,100.0,1600007.0,3574,448.0,비수도권
