,date,close,diff,open,high,low,volume
298,2020-03-02,55000,800,54300,55500,53600,30403412
297,2020-03-03,55400,400,56700,56900,55100,30330295
296,2020-03-04,57400,2000,54800,57600,54600,24765728
295,2020-03-05,57800,400,57600,58000,56700,21698990
294,2020-03-06,56500,1300,56500,57200,56200,18716656
290,2020-03-09,54200,2300,54700,55000,53600,30261485
289,2020-03-10,54600,400,53800,54900,53700,32106554
288,2020-03-11,52100,2500,54300,54400,52000,45707281
287,2020-03-12,50800,1300,51000,51900,49300,48149999
286,2020-03-13,49950,850,47450,51600,46850,59462933
283,2020-03-16,48900,1050,50100,50900,48800,33339821
282,2020-03-17,47300,1600,46900,49650,46700,51218151
281,2020-03-18,45600,1700,47750,48350,45600,40152623
280,2020-03-19,42950,2650,46400,46650,42300,56925513
279,2020-03-20,45400,2450,44150,45500,43550,49730008
275,2020-03-23,42500,2900,42600,43550,42400,41701626
274,2020-03-24,46950,4450,43850,46950,43050,49801908
273,2020-03-25,48650,1700,48950,49600,47150,52735922
272,2020-03-26,47800,850,49000,49300,47700,42185129
271,2020-03-27,48300,500,49600,49700,46850,39896178
268,2020-03-30,47850,450,47050,48350,46550,26797395
267,2020-03-31,47750,100,48000,48500,47150,30654261
266,2020-04-01,45800,1950,47450,47900,45800,27259532
265,2020-04-02,46800,1000,46200,46850,45350,21621076
264,2020-04-03,47000,200,47400,47600,46550,22784682
260,2020-04-06,48700,1700,47500,48800,47250,23395726
259,2020-04-07,49600,900,49650,50200,49000,31524034
258,2020-04-08,48600,1000,49600,49750,48600,25010314
257,2020-04-09,49100,500,49750,49800,48700,22628058
256,2020-04-10,49250,150,48950,49250,48650,17839111
253,2020-04-13,48300,950,48650,48900,48300,14431800
252,2020-04-14,49000,700,48800,49200,48300,14206216
251,2020-04-16,49000,0,49350,49350,48550,23349760
250,2020-04-17,51400,2400,50800,52000,50300,32041675
249,2020-04-20,50100,1300,51400,51400,50000,21866354
245,2020-04-21,49250,850,49400,49700,48700,27407543
244,2020-04-22,49850,600,48700,50000,48350,18613864
243,2020-04-23,49850,0,50200,50300,49500,18754442
242,2020-04-24,49350,500,49650,49750,49000,15618347
241,2020-04-27,49850,500,49350,50000,49100,14049471
238,2020-04-28,50100,250,49850,50100,49300,16095399
237,2020-04-29,50000,100,49900,50500,49600,15604533
236,2020-05-04,48500,1500,48900,49100,48500,26083749
235,2020-05-06,49200,700,49000,49200,48500,18070225
234,2020-05-07,48800,400,49200,49300,48700,13884411
230,2020-05-08,48800,0,49100,49350,48800,15319700
229,2020-05-11,48400,400,48900,49250,48300,16357743
228,2020-05-12,47900,500,48400,48500,47550,23433590
227,2020-05-13,48550,650,47250,48550,47200,20223277
226,2020-05-14,48000,550,47750,48100,47650,19305974
223,2020-05-15,47850,150,48400,48450,47700,18463118
222,2020-05-18,48800,950,47950,49100,47600,20481981
221,2020-05-19,50300,1500,50100,50500,49700,25168295
220,2020-05-20,50000,300,50000,50200,49800,14896899
219,2020-05-21,49950,50,50300,50400,49850,14949266
215,2020-05-22,48750,1200,49600,49800,48600,19706284
214,2020-05-25,48850,100,48750,48900,48450,14337913
213,2020-05-26,49250,400,48700,49450,48600,15127490
212,2020-05-27,49900,650,48950,50000,48800,19548479
